-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  BatchSheetNumber  | ProductNumberExter | ProductNumberInter | ProductDesignation |     CustomerID     |      DueDate       |  DateManufactured  |   ExpirationDate   |       QCDate       |   QCPerformedBy    |     NetWeight      |   TotalQuantity    | TotalQuantityUnitT |  Column1UnitType   |  Column2UnitType   |      Filtered      |      Allergen      |       Kosher       | NumberOfTimesToMak |       MadeBy       |       Yield        |  abeleiLotNumber   | LotSequenceNumber  |       Vessel       |       Notes        |    ScaleNumber     | CommitedToInventor |    Manufactured    | InventoryMovementT | InventoryMovementR |  QCDateOfStandard  | QCLotNumberofStand |  QCCofAAvailable   | QCCofAStandardAvai |      QCColor       |       QCOdor       |   QCGranulation    |       QCBrix       | QCMethodForOrganol | QCOrganolepticOber | QCMicrobiologicalR | QCMicrobiologicalR | QCMicrobiologicalR | QCMicrobiologicalR | QCProductMeetsAllS |     QCComments     | SizeOfRetainTaken  |     QCMoisture     | QCPackagingTypeAnd | QCActualSpecificGr |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 11 | US-B295            | 206460             | Artificial Butter  |               4790 |          2/29/2008 |          2/25/2008 |                    |          2/25/2008 | Bridget McGowan    |           120.0000 |             0.0000 | lbs                | lbs                | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             98.00% | 080225-2           |                  1 | 50-G Wheels        | Net Weight = 3 x   |                    |                Yes |                Yes |                777 | Bunge Oils         |           2/5/2008 | 080205-1           |                    | Y                  | clear colorless    | char of butter     |                    |                    | 0.20% in 0.60%     | char of butter     | n                  |                    |                    |                    | y                  |                    | 3 x 40#            |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 12 | US-B290            | 206450             | Artificial Butter  |               4790 |          2/29/2008 |          2/25/2008 |                    |                    | Bridget McGowan    |            24.4800 |             0.0000 | lbs                | grams              | lbs                |                Yes |                    | N/A                |                  1 | Marcelino          |             98.00% | 080225-1           |                  1 | Stainless Steel    | Intermediate to    |                    |                Yes |                Yes |                772 | Bunge Oils         |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 14 | US-V6916K          | 206890             | Natural Vanilla    |               4735 |          2/15/2008 |          2/14/2008 |                    |                    | Bridget McGowan    |           115.6700 |             0.0000 | grams              | grams              | grams              |                Yes |                    | N/A                |                  1 | Marcelino          |             98.00% | 080215-2           |                  1 | Stainless Steel    | Intermediate to    |                    |                Yes |                Yes |                656 | All American       |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 15 | 197a41             | 206850             | Natural Vanilla    |               4735 |          2/15/2008 |          2/15/2008 |                    |                    | Bridget McGowan    |           100.0000 |             0.0000 | lbs                | lbs                | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             98.00% | 080215-1           |                  1 | Ribbon Blender     | Net Weight = 2 x   | 6                  |                Yes |                Yes |                664 | All American       |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 19 | 124a07             | 201260             | N&A Caramel Flavor |               5165 |          2/15/2008 |          2/14/2008 |                    |          2/14/2008 | Bridget McGowan    |            38.0000 |             0.0000 | lbs                | grams              | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             97.00% | 080214-1           |                  1 | 5-G Pail           | Net Weight = 1 x   |                    |                Yes |                Yes |                689 | James Skinner      |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 20 | 144a06             | 202650             | Natural Fruit      |               4825 |          2/20/2008 |          2/18/2008 |                    |          2/19/2008 | Bridget McGowan    |           410.0000 |             0.0000 | lbs                | grams              | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             98.00% | 080218-1           |                  1 | 250-G Jacketed     | Net Weight = 10 x  |                    |                Yes |                Yes |                704 | Country Pure       |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 21 | 197a08KB           | 205860             | N&A French Vanilla |               4762 |          2/19/2008 |          2/19/2008 |                    |          2/19/2008 | Bridget McGowan    |           116.6600 |             0.0000 | lbs                | grams              | lbs                |                 No |                    |                    |                  1 | Marcelino          |             98.00% | 080219-3           |                  1 | 50-G Wheels        | Combine with       | 6,7                |                Yes |                Yes |                710 | Bay Valley Foods   |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 22 | 197a08KA           | 205850             | N&A French Vanilla |               4762 |          2/19/2008 |          2/19/2008 |                    |          2/19/2008 | Bridget McGowan    |           558.0700 |             0.0000 | lbs                | lbs                | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             98.50% | 080219-1           |                  1 | 250-G Jacketed     | Net Weight = 14 x  | 6,7                |                Yes |                Yes |                719 | Bay Valley Foods   |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 24 | 197a08             | 205840             | N&A French Vanilla |               4762 |          2/28/2008 |          2/25/2008 |                    |                    |                    |         40000.0000 |             0.0000 | lbs                | lbs                | lbs                |                 No |                    |                    |                  1 | Oxy-Dry            |             99.00% | 080221-1           |                  1 |                    |                    |                    |                Yes |                Yes |               1160 |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 26 | US-G136            | 203010             | N&A Grape Soda Pop |               4874 |          2/29/2008 |          2/25/2008 |                    |                    | Bridget McGowan    |           492.0000 |             0.0000 | lbs                | lbs                | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             98.50% | 080225-6           |                  1 | 250-G Jacketed     | Net Weight = 1 x   |                    |                Yes |                Yes |               1101 | Farleys and        |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 27 | US-G136K           | 209223             | Artificial Grape   |               4874 |          2/29/2008 |          2/22/2008 |                    |                    | Bridget McGowan    |            27.4700 |             0.0000 | lbs                | grams              | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             98.00% | 080221-4           |                  1 | Stainless Steel    | Intermediate to    |                    |                Yes |                Yes |               1089 | Farleys and        |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 28 | US-R960K           | 205250             | Artificial Rose    |               4874 |          2/29/2008 |          2/21/2008 |                    |                    | Bridget McGowan    |           277.0700 |             0.0000 | grams              | grams              | grams              |                Yes |                    | N/A                |                  1 | Marcelino          |             99.00% | 080221-2           |                  1 | Stainless Steel    | Intermediate to    |                    |                Yes |                Yes |                727 | Farleys and        |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 30 | US-O704K           | 204500             | N&A Osmanthus      |               4874 |          2/29/2008 |          2/21/2008 |                    |                    | Bridget McGowan    |            45.7500 |             0.0000 | grams              | grams              | grams              |                Yes |                    | N/A                |                  1 | Marcelino          |             99.00% | 080221-3           |                  1 | Stainless Steel    | Intermediate to    |                    |                Yes |                Yes |                737 | Farleys and        |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 31 | 195a12             | 210206             | Natural Sweetness  |               5199 |          3/20/2008 |          2/29/2008 |                    |                    | Bridget McGowan    |           100.0000 |             0.0000 | lbs                | lbs                | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             98.00% | 080229-5           |                  1 | Ribbon Blender     | Net Weight = 2 x   |                    |                Yes |                Yes |               1079 | Rhema PO#505480    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 32 | US-B8883           | 206540             | N&A Butter Flavor  |               4790 |          3/12/2008 |          2/28/2008 |                    |                    | Bridget McGowan    |           838.0000 |             0.0000 | lbs                | lbs                | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             98.00% | 080228-3           |                  1 | 250-G Jacketed     | Net Weight = 2 x   |                    |                Yes |                Yes |               1063 | Bunge Oils         |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 33 | US-B8883K          | 201050             | N&A Butter Flavor  |               4790 |          3/12/2008 |          2/28/2008 |                    |                    | Bridget McGowan    |            74.8800 |             0.0000 | lbs                | grams              | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             98.00% | 080228-2           |                  1 | 50-G Wheels        | Intermediate to    |                    |                Yes |                Yes |               1050 | Bunge Oils         |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
